,guest_count,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,reviews_per_month,average_ratings,clusters,cluster
0,1,1.0,1.0,35.0,30,365,30,60,90,0.11,3.0833333333333335,1,purple
1,6,2.0,3.0,149.0,30,365,29,59,89,0.0,0.0,1,purple
2,8,2.5,4.0,190.0,1,365,4,21,51,2.52,4.795000000000001,1,purple
3,5,2.5,2.0,87.0,29,365,0,0,0,0.0,0.0,1,purple
4,3,1.0,2.0,300.0,29,1125,0,0,27,0.99,4.986666666666667,0,pink
5,8,4.0,5.0,408.0,4,29,20,47,74,0.67,4.963333333333334,2,dark purple
6,2,1.0,1.0,121.0,2,180,6,36,66,2.61,4.966666666666666,2,dark purple
7,9,3.5,6.0,561.0,1,30,21,35,60,2.14,4.886666666666667,2,dark purple
8,2,2.0,2.0,128.0,30,45,30,60,90,0.0,0.0,2,dark purple
9,2,1.0,1.0,93.0,30,180,30,60,90,0.0,0.0,2,dark purple
10,5,2.0,2.0,319.0,2,90,24,54,84,3.1,4.901666666666666,2,dark purple
11,4,2.0,2.0,143.0,29,180,0,0,0,1.21,4.925,2,dark purple
12,2,1.0,1.0,165.0,2,365,0,0,0,2.16,4.766666666666667,1,purple
13,1,1.0,1.0,33.0,29,365,10,40,70,0.21,4.833333333333333,1,purple
14,4,2.0,2.0,295.0,2,365,23,53,83,2.41,4.926666666666667,1,purple
15,2,1.0,1.0,60.0,30,365,30,60,90,0.0,0.0,1,purple
16,2,1.0,1.0,141.0,1,731,9,39,69,2.04,5.0,1,purple
17,6,2.5,3.0,192.0,1,7,24,54,84,3.1,4.8133333333333335,2,dark purple
18,1,1.5,1.0,90.0,29,365,29,59,62,0.0,0.0,1,purple
19,2,1.0,1.0,65.0,30,1125,11,11,19,0.12,4.923333333333333,0,pink
20,1,1.0,1.0,33.0,29,180,5,7,37,0.34,4.941666666666666,2,dark purple
21,4,1.0,2.0,86.0,30,365,4,31,31,0.23,5.0,1,purple
22,4,2.0,2.0,130.0,30,365,0,0,0,0.0,0.0,1,purple
23,3,1.0,1.0,95.0,30,1125,0,0,0,2.81,4.948333333333333,0,pink
24,13,2.0,5.0,276.0,2,120,0,0,0,3.46,4.8549999999999995,2,dark purple
25,6,2.5,2.0,157.0,2,31,0,0,0,0.63,4.695,2,dark purple
26,4,1.0,2.0,68.0,29,190,0,0,0,0.0,0.0,2,dark purple
27,2,1.0,2.0,88.0,1,35,21,51,78,4.31,4.9366666666666665,2,dark purple
28,3,1.0,4.0,150.0,3,6,0,0,0,3.51,4.83,2,dark purple
29,5,1.0,2.0,135.0,1,365,9,21,32,5.09,4.715000000000001,1,purple
30,4,1.0,2.0,110.0,30,365,0,0,0,0.8,4.971666666666667,1,purple
31,8,4.0,4.0,850.0,29,365,29,59,89,0.0,0.0,1,purple
32,2,1.0,1.0,82.0,1,1125,0,0,0,3.97,4.966666666666668,0,pink
33,4,1.0,2.0,120.0,1,1125,26,53,77,1.99,4.803333333333334,0,pink
34,2,1.0,1.0,84.0,30,365,29,59,89,0.0,0.0,1,purple
35,6,2.0,3.0,104.0,29,1095,0,25,55,1.22,4.916666666666667,0,pink
36,2,1.0,1.0,77.0,30,1125,21,51,81,0.48,4.955,0,pink
37,6,3.0,3.0,129.0,29,365,30,60,90,0.68,5.0,1,purple
38,4,2.5,2.0,115.0,30,1125,22,52,82,0.34,4.8950000000000005,0,pink
39,10,3.0,5.0,521.0,3,365,0,0,0,0.0,0.0,1,purple
40,4,1.0,2.0,108.0,1,9,18,48,78,6.64,4.9366666666666665,2,dark purple
41,4,2.5,2.0,314.0,2,90,23,49,78,4.67,4.989999999999999,2,dark purple
42,2,1.0,1.0,203.0,30,365,2,23,53,1.1,4.963333333333334,1,purple
43,4,1.0,2.0,156.0,1,28,27,57,87,5.94,4.96,2,dark purple
44,4,2.0,2.0,180.0,31,1125,0,0,0,0.06,4.0,0,pink
45,4,1.0,2.0,103.0,2,90,0,19,49,1.92,4.626666666666666,2,dark purple
46,2,1.0,1.0,120.0,30,365,21,51,81,0.0,0.0,1,purple
47,2,1.0,1.0,135.0,2,30,0,0,0,1.81,4.901666666666666,2,dark purple
48,4,1.0,3.0,139.0,2,1125,0,0,0,1.61,4.976666666666667,0,pink
